id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,item_group_id,google_product_category,custom_label_0
product_deaa7942-4723-3e94-2f83-fb6a2e8f9820Bar,Caja 6 Botellas 750 ml Barrica,"<ul>        <li>Cajas de carton corrugado de 70 libras</li>        <li>Para 6 botellas modelo Barrica de 750&nbsp;ml</li>        <li>Precio especial si la compras con envases</li>        <li>A partir de 1000 unidades la impresión es gratis, podes agregar la info que quieras. Tenes un costo unico que es para los clise de impresión que duran para futuras impresiones.</li></ul><p>&nbsp;</p>",in stock,new,744.74 ARS,https://dc-inc-web-v3.vercel.app/producto/caja-6-botellas-750-ml-barrica,https://cdn.sanity.io/images/4sov2yyo/production/d6dd5b647ac4fb35fd37f6ac5084f258b0b2c4d3-1000x1000.jpg,,DC Inc,product_deaa7942-4723-3e94-2f83-fb6a2e8f9820Bar,,
product_deaa7942-4723-3e94-2f83-fb6a2e8f9820B,Caja 6 Botellas 750 ml Bit,"<ul>        <li>Cajas de carton corrugado de 70 libras</li>        <li>Para 6 botellas de 750&nbsp;ml</li>        <li>Precio especial si la compras con envases</li>        <li>A partir de 1000 unidades la impresión es gratis, podes agregar la info que quieras. Tenes un costo unico que es para los clise de impresión que duran para futuras impresiones.</li></ul><p>&nbsp;</p>",in stock,new,713.04 ARS,https://dc-inc-web-v3.vercel.app/producto/caja-6-botellas-750-ml-bit,https://cdn.sanity.io/images/4sov2yyo/production/d6dd5b647ac4fb35fd37f6ac5084f258b0b2c4d3-1000x1000.jpg,,DC Inc,product_deaa7942-4723-3e94-2f83-fb6a2e8f9820B,,
product_deaa7942-4723-3e94-2f83-fb6a2e8f9820G,Caja 6 Botellas 750 ml Guarda,"<ul>        <li>Cajas de carton corrugado de 70 libras</li>        <li>Para 6 botellas tipo espumante de 750&nbsp;ml</li>        <li>Precio especial si la compras con envases</li>        <li>A partir de 1000 unidades la impresión es gratis, podes agregar la info que quieras. Tenes un costo unico que es para los clise de impresión que duran para futuras impresiones.</li></ul><p>&nbsp;</p>",in stock,new,753.94 ARS,https://dc-inc-web-v3.vercel.app/producto/caja-6-botellas-750-ml-guarda,https://cdn.sanity.io/images/4sov2yyo/production/d6dd5b647ac4fb35fd37f6ac5084f258b0b2c4d3-1000x1000.jpg,,DC Inc,product_deaa7942-4723-3e94-2f83-fb6a2e8f9820G,,
product_9c31929e-c5f9-e7d8-6d70-8fe445ff69d6AGP,Caja 6 Botellas Agropecuario 500 ml,"<ul>        <li>Cajas de carton corrugado de 70 libras</li>        <li>Para 6 botellas Agropecuario de 500&nbsp;ml</li>        <li>Precio especial si la compras con envases</li>        <li>A partir de 600 unidades la impresión es gratis, podes agregar la info que quieras. Tenes un costo unico que es para los clise de impresión que duran para futuras impresiones.</li></ul><p>&nbsp;</p>",in stock,new,610.80 ARS,https://dc-inc-web-v3.vercel.app/producto/caja-6-botellas-agropecuario-500-ml,https://cdn.sanity.io/images/4sov2yyo/production/d6dd5b647ac4fb35fd37f6ac5084f258b0b2c4d3-1000x1000.jpg,,DC Inc,product_9c31929e-c5f9-e7d8-6d70-8fe445ff69d6AGP,,
product_a22915a0-e3f1-7808-bfa6-09beab7547d4,Caja 6 latas 473 ml,"<ul>        <li>Cajas de carton corrugado de 70 libras</li>        <li>Para 6 latas de 354 o 473&nbsp;ml</li>        <li>Precio especial si la compras con envases</li>        <li>A partir de 500 unidades la impresión es gratis, podes agregar la info que quieras. Tenes un costo unico que es para los clise de impresión que duran para futuras impresiones.</li></ul><p>&nbsp;</p>",in stock,new,529.00 ARS,https://dc-inc-web-v3.vercel.app/producto/caja-6-latas-473-ml,https://cdn.sanity.io/images/4sov2yyo/production/6c38f630d6217d789a990598dad7b1c363cf1af0-1000x1000.jpg,,DC Inc,product_a22915a0-e3f1-7808-bfa6-09beab7547d4,,
product_6498d21a-0c40-14f9-3df5-f96bb830464d,Caja Regalo para 3 latas + 1 pinta,"<ul>        <li>Cajas de carton microcorrugado + carton</li>        <li>Sin Impresión, espacios disponibles para personalizar de manera manual, serigrafia o vinilo de corte.</li>        <li>Para 3 latas de 354 o 473&nbsp;ml mas 1 vaso o copa (altura máxima 19 cm, consultar por modelos posibles)</li>        <li>Contenido: caja + 2 bases desplegadas</li>        <li>A partir de 3000 unidades la impresión es gratis, podes agregar la info que quieras. Tenes un costo unico que es para las películas de impresión que duran para futuras impresiones.</li></ul><p>&nbsp;</p>",in stock,new,737.91 ARS,https://dc-inc-web-v3.vercel.app/producto/caja-regalo-para-3-latas-1-pinta,https://cdn.sanity.io/images/4sov2yyo/production/a1a935eceaed5803132447420ce7e88780e436b4-1000x1000.png,,DC Inc,product_6498d21a-0c40-14f9-3df5-f96bb830464d,,
NACB0340,Chop Bristol 340 ml,<p>Capacidad 340 ml</p><p>Caja de 340&nbsp;ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,4836.76 ARS,https://dc-inc-web-v3.vercel.app/producto/chop-bristol-340-ml,https://cdn.sanity.io/images/4sov2yyo/production/632fd0f06b52a0c22186e76bef2d8cbb620773f1-1280x1280.jpg,,DC Inc,NACB0340,,
DXCC0500,Chop Cordoba 500 ml,<p>Capacidad 500 ml</p><p>Caja de 500&nbsp;ml: 24 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,2497.60 ARS,https://dc-inc-web-v3.vercel.app/producto/chop-cordoba-500-ml,https://cdn.sanity.io/images/4sov2yyo/production/e167b2005df71c3a0d7641b86b0551669f64fa31-1280x1280.jpg,,DC Inc,DXCC0500,,
MMCE0380,Chop Escudo 380 ml,<p>Capacidad 380 ml</p><p>Caja de 380&nbsp;ml: 36 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,1929.95 ARS,https://dc-inc-web-v3.vercel.app/producto/chop-escudo-380-ml,https://cdn.sanity.io/images/4sov2yyo/production/13b6eb731686218444d8f66d66e6eb9282784faf-1280x1280.png,,DC Inc,MMCE0380,,
MMCP0400,Chop Praga 400 ml,<p>Capacidad 400 ml</p><p>Caja de 400&nbsp;ml: 36 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,1840.47 ARS,https://dc-inc-web-v3.vercel.app/producto/chop-praga-400-ml,https://cdn.sanity.io/images/4sov2yyo/production/dcaadd2ebcf0218c29bbacc60fd51f0c28ff72cf-1280x1280.png,,DC Inc,MMCP0400,,
